#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
marketplace.page.plugins.description2	Installing a plugin is a manual operation. Please refer to the {link}.	ein Plugin zu installieren ist eine manuelle Bedienung. Bitte beachten Sie die {link}.
marketplace.page.plugins.description2.link	documentation	Dokumentation
marketplace.plugin_list.no_plugins.all	No installed plugins or updates available	Keine installierten Plugins oder Updates verfügbar
marketplace.plugin_list.no_plugins.installed	No installed plugins	Keine installierten Plugins
marketplace.plugin_list.no_plugins.updates	No plugin updates available	Kein Plug-Updates verfügbar
marketplace.instance_needs_to_be_restarted_to	{instance} needs to be restarted in order to	{Instance} muss neu gestartet werden, um
marketplace.install_x_plugins	install {nb} plugins	installieren {nb} Plugins
marketplace.update_x_plugins	update {nb} plugins	update {nb} Plugins
marketplace.uninstall_x_plugins	uninstall {nb} plugins	uninstall {nb} Plugins
marketplace.not_activated	Update Center is not activated.	Update Center ist nicht aktiviert.
marketplace.all	All	Alle
marketplace.installed	Installed	Eingerichtet
marketplace.updates_only	Updates Only	Updates Nur
marketplace.restart	Restart	Neu starten
marketplace.revert	Revert	Zurückkehren
marketplace.install	Install	Installieren
marketplace.upgrade_to_x	Upgrade to {0}	Aktualisieren Sie auf {0}
marketplace.downgrade_to_x	Downgrade to {0}	Herabstufung auf {0}
marketplace.installed	Installed	Eingerichtet
marketplace.installing	Installing...	Installieren ...
marketplace.upgrade	Upgrade	Aktualisierung
marketplace.downgrade	Downgrade	degradieren
marketplace.checking_license	Checking your license...	Überprüfen Sie Ihre Lizenz ...
marketplace._installed	installed	Eingerichtet
marketplace.available_under_commercial_license	Available under our commercial editions	Erhältlich unter unseren kommerziellen Editionen
marketplace.learn_more	Learn more	Mehr erfahren
marketplace.request_free_trial	Request a free trial	Fordern Sie eine kostenlose Testversion
marketplace.homepage	Homepage	Startseite
marketplace.issue_tracker	Issue Tracker	Issue Tracker
marketplace.licensed_under_x	Licensed under {license}	Lizenziert unter {Lizenz}
marketplace.developed_by_x	Developed by {organization}	Entwickelt von {Organisation}
marketplace.install_pending	Install Pending	installieren Sie Pending
marketplace.update_pending	Update Pending	Update Pending
marketplace.uninstall_pending	Uninstall Pending	Deinstallieren Pending
marketplace.requires_restart	This requires a restart	Dies erfordert einen Neustart
marketplace.updates	Updates	Aktualisierung
marketplace.update_status.COMPATIBLE	Compatible	kompatibel
marketplace.update_status.INCOMPATIBLE	Incompatible	Unvereinbar
marketplace.update_status.REQUIRES_SYSTEM_UPGRADE	Requires system update	Erfordert System-Update
marketplace.update_status.DEPS_REQUIRE_SYSTEM_UPGRADE	Some of dependencies requires system update	Einige Abhängigkeiten erfordert System-Update
marketplace.installing_this_plugin_will_also_install_x	Installing this plugin will also install: {0}	dieses Plugin Installieren auch installieren: {0}
marketplace.update_to_x	Update to {0}	Aktualisieren Sie auf {0}
marketplace.uninstall	Uninstall	Deinstallieren
marketplace.i_accept_the	I accept the	Ich akzeptiere das
marketplace.terms_and_conditions	Terms and Conditions	Geschäftsbedingungen
marketplace.release_notes	Release Notes	Versionshinweise
marketplace.how_to_setup_cluster_url	Further configuration is required to set up a cluster. See {url} documentation.	Die weitere Konfiguration ist erforderlich, um einen Cluster einzurichten. Siehe {url} Dokumentation.
marketplace.search	Search by features, tags, or categories...	Suche nach Merkmalen, Tags oder Kategorien ...
		
marketplace.risk_consent.title	Installation of plugins	Installation von Plugins
marketplace.risk_consent.description	Plugins are not provided by SonarSource and are therefore installed at your own risk. SonarSource disclaims all liability for installing and using such plugins.	Plugins wird nicht von SonarSource zur Verfügung gestellt und werden daher auf eigene Gefahr installiert. SonarSource lehnt jede Haftung für die Installation und solche Plugins verwenden.
marketplace.risk_consent.installation	You can install plugins directly from the list below after you acknowledge the risk.	Sie können Plug-in installieren direkt aus der Liste unten, nachdem Sie das Risiko erkennen.
marketplace.risk_consent.action	I understand the risk.	Ich verstehe das Risiko.
		
plugin_risk_consent.title	Installation of plugins	Installation von Plugins
plugin_risk_consent.description	A third-party plugin has been detected.	Eine Drittanbieter-Plugin erkannt wurde.
plugin_risk_consent.description2	Plugins are not provided by SonarSource and are therefore installed at your own risk. SonarSource disclaims all liability for installing and using such plugins.	Plugins wird nicht von SonarSource zur Verfügung gestellt und werden daher auf eigene Gefahr installiert. SonarSource lehnt jede Haftung für die Installation und solche Plugins verwenden.
plugin_risk_consent.description3	If you wish to uninstall the plugin(s) instead, you may refer to the {link}.	Wenn Sie die Plug-in (s) deinstallieren möchten stattdessen können Sie auf der {link} finden.
plugin_risk_consent.description3.link	documentation	Dokumentation
plugin_risk_consent.action	I understand the risk	Ich verstehe das Risiko
		
#------------------------------------------------------------------------------		
#		
# BACKGROUND TASKS		
#		
#------------------------------------------------------------------------------		
component_navigation.status.failed	The last background task has failed.	Die letzte Hintergrundaufgabe ist fehlgeschlagen.
component_navigation.status.failed_X	The {type} has failed.	Der {type} ist fehlgeschlagen.
component_navigation.status.failed.admin.link	The last background task has failed. More details available on the {url} page.	Die letzte Hintergrundaufgabe ist fehlgeschlagen. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.failed_X.admin.link	The {type} has failed. More details available on the {url} page.	Der {type} ist fehlgeschlagen. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.failed.admin.help	The last background task has failed. You can find more details below by clicking on the cog menu, and then "{stacktrace}".	Die letzte Hintergrundaufgabe ist fehlgeschlagen. Sie können durch einen Klick auf das Zahnrad-Menü Details siehe unten finden, und dann „{} Stacktrace“.
component_navigation.status.failed_X.admin.help	The {type} has failed. You can find more details below by clicking on the cog menu, and then "{stacktrace}".	Der {type} ist fehlgeschlagen. Sie können durch einen Klick auf das Zahnrad-Menü Details siehe unten finden, und dann „{} Stacktrace“.
component_navigation.status.failed_branch	The last analysis on this project ({branch}) failed.	Die letzte Analyse an diesem Projekt ({} Zweig) ist fehlgeschlagen.
component_navigation.status.failed_branch_X	The last {type} on this project ({branch}) failed.	Der letzte {type} zu diesem Projekt ({} Zweig) ist fehlgeschlagen.
component_navigation.status.failed_branch.admin.link	The last analysis on this project ({branch}) failed. More details available on the {url} page.	Die letzte Analyse an diesem Projekt ({} Zweig) ist fehlgeschlagen. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.failed_branch_X.admin.link	The last {type} on this project ({branch}) failed. More details available on the {url} page.	Der letzte {type} zu diesem Projekt ({} Zweig) ist fehlgeschlagen. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.failed_branch.admin.help	#ERROR!	#ERROR!
component_navigation.status.failed_branch_X.admin.help	The last {type} on this project ({branch}) failed. You can find more details below by clicking on the cog menu, and then "{stacktrace}".	Der letzte {type} zu diesem Projekt ({} Zweig) ist fehlgeschlagen. Sie können durch einen Klick auf das Zahnrad-Menü Details siehe unten finden, und dann „{} Stacktrace“.
component_navigation.status.pending	There is a pending background task.	Es gibt eine anhängige Hintergrundaufgabe.
component_navigation.status.pending_X	There is a pending {type}.	Es gibt eine anhängige {type}.
component_navigation.status.pending.admin.link	There is a pending background task. More details available on the {url} page.	Es gibt eine anhängige Hintergrundaufgabe. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.pending_X.admin.link	There is a pending {type}. More details available on the {url} page.	Es gibt eine anhängige {type}. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.pending.admin.help	There is a pending background task.	Es gibt eine anhängige Hintergrundaufgabe.
component_navigation.status.pending_X.admin.help	There is a pending {type}.	Es gibt eine anhängige {type}.
component_navigation.status.in_progress	A background task is in progress.	Eine Hintergrundaufgabe ist im Gange.
component_navigation.status.in_progress_X	The {type} is in progress.	Der {Typ} ist im Gange.
component_navigation.status.in_progress.admin.link	A background task is in progress. More details available on the {url} page.	Eine Hintergrundaufgabe ist im Gange. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.in_progress_X.admin.link	The {type} is in progress. More details available on the {url} page.	Der {Typ} ist im Gange. Weitere Details finden Sie auf der {url} Seite.
component_navigation.status.in_progress.admin.help	A background task is in progress.	Eine Hintergrundaufgabe ist im Gange.
component_navigation.status.in_progress_X.admin.help	The {type} is in progress.	Der {Typ} ist im Gange.
component_navigation.status.last_blocked_due_to_bad_license_X	Last analysis blocked due to an invalid license, which has since been corrected. Please reanalyze this {0}.	Letzte Analyse blockiert aufgrund einer ungültigen Lizenz, die korrigiert, da wurde. Bitte erneut analysieren diese {0}.
		
component_navigation.last_analysis_had_warnings	Last analysis had {warnings}	Letzte Analyse hatte {Warnungen}
component_navigation.x_warnings	{warningsCount} {warningsCount, plural, one {warning} other {warnings}}	{WarningsCount} {warningsCount, Plural, eine {Warnung} {andere Warnungen}}
		
		
background_task.status.ALL	All	Alle
background_task.status.PENDING	Pending	steht aus
background_task.status.IN_PROGRESS	In Progress	In Bearbeitung
background_task.status.SUCCESS	Success	Erfolg
background_task.status.FAILED	Failed	Gescheitert
background_task.status.CANCELED	Canceled	Abgesagt
background_task.status.ALL_EXCEPT_PENDING	All Except Pending	Außer Pending Alle
		
background_task.type.ALL	All	Alle
background_task.type.REPORT	Project Analysis	Projektanalyse
background_task.type.DEV_REFRESH	Developer Analysis	Entwickler Analyse
background_task.type.DEV_PURGE	Developer Cleaning	Entwickler Reinigung
background_task.type.ISSUE_SYNC	Project Data Reload	Projektdaten neu laden
background_task.type.APP_REFRESH	Recomputation	Neuberechnung
background_task.type.PROJECT_EXPORT	Project Export	Projekt Export
background_task.type.PROJECT_IMPORT	Project Import	Projektimport
		
background_tasks.page	Background Tasks	Hintergrundaufgaben
background_tasks.page.description	This page allows monitoring of the queue of tasks running asynchronously on the server. It also gives access to the history of finished tasks and their status. Analysis report processing is the most common kind of background task.	Auf dieser Seite kann die Warteschlange von Überwachungsaufgaben asynchron auf dem Server ausgeführt. Es gibt auch Zugang zu der Geschichte der erledigten Aufgaben und dessen Status. Die Analyse der Berichtsverarbeitung ist die häufigste Art von Hintergrundaufgabe.
		
background_tasks.currents_filter.ALL	All	Alle
background_tasks.currents_filter.ONLY_CURRENTS	Only Latest Analysis	Nur Neueste Analyse
		
background_tasks.date_filter.ALL	Any Date	Jedes Datum
background_tasks.date_filter.TODAY	Today	Heute
background_tasks.date_filter.CUSTOM	Custom	Benutzerdefiniert
		
background_tasks.table.status	Status	Status
background_tasks.table.task	Task	Aufgabe
background_tasks.table.id	ID	ICH WÜRDE
background_tasks.table.submitted	Submitted	eingereicht
background_tasks.table.submitter	Submitter	Submitter
background_tasks.table.started	Started	Gestartet
background_tasks.table.finished	Finished	Fertig
background_tasks.table.duration	Duration	Dauer
		
background_tasks.filter_by_component_x	Filter by Component "{0}"	Filter nach Komponente "{0}"
background_tasks.cancel_task	Cancel Task	Aufgabe abbrechen
background_tasks.cancel_task.text	Are you sure you want to cancel this pending task?	Sind Sie sicher, dass Sie diese anhängige Aufgabe abbrechen möchten?
background_tasks.cancel_all_tasks	Cancel All Pending Tasks	Abbrechen Alle anstehenden Aufgaben
background_tasks.cancel_all_tasks.text	Are you sure you want to cancel all pending tasks?	Sind Sie sicher, dass Sie alle anstehenden Aufgaben abbrechen möchten?
background_tasks.cancel_all_tasks.submit	Cancel All	Alle Absagen
background_tasks.scanner_context	Scanner Context	Scanner Context
background_tasks.show_scanner_context	Show Scanner Context	Show Scanner Context
background_tasks.show_stacktrace	Show Error Details	Zeigen Sie Fehlerdetails
background_tasks.show_warnings	Show Warnings	Warnungen anzeigen
background_tasks.error_message	Error Message	Fehlermeldung
background_tasks.error_stacktrace	Error Details	Fehlerdetails
background_tasks.pending	pending	steht aus
background_tasks.pending_time	pending time	anhängige Zeit
background_tasks.pending_time.description	Pending time of the oldest background task waiting to be processed.	Bis zur Zeit der ältesten Wartehintergrundaufgabe verarbeitet werden.
background_tasks.failures	still failing	noch versagt
		
background_tasks.number_of_workers	Number of Workers:	Anzahl der Arbeiter:
background_tasks.number_of_workers.warning	Configuring additional workers without first vertically scaling your server could have negative performance impacts.	Konfigurieren zusätzlicher Arbeiter ohne zuerst vertikal Serverskalierung negativen Auswirkungen auf die Leistung haben.
background_tasks.change_number_of_workers	Edit CE Workers	Bearbeiten CE Workers
background_tasks.change_number_of_workers.hint	If your queue backs up behind the analysis reports from large projects, increasing the number of Compute Engine workers will allow you to take full advantage of having configured increased Compute Engine memory on a multi-core server (vertical scaling).	Wenn Ihre Warteschlange Rücken hinter den Analyseberichten von Großprojekten, wird die Anzahl der Compute Engine Arbeiter zu erhöhen können Sie auf einem Multi-Core-Server (vertikale Skalierung) erhöht Compute Engine-Speicher voll Vorteil, konfiguriert nehmen.
background_tasks.add_more_workers	Speed up analysis with parallel processing	Beschleunigen Analyse mit der parallelen Bearbeitung
background_tasks.add_more_workers.text	Configure multiple workers for parallel processing of analysis reports in Enterprise Edition.	Konfigurieren Sie mehrere Arbeiter für die parallele Verarbeitung von Analyseberichte in der Enterprise Edition.
background_tasks.search_by_task_or_component	Search by Task or Component	Suche nach Aufgabe oder Component
background_tasks.failing_count	Count of projects where processing of most recent analysis report failed	Graf von Projekten, bei denen die Verarbeitung des letzten Analysebericht gescheitert
		
		
#------------------------------------------------------------------------------		
#		
# SYSTEM		
#		
#------------------------------------------------------------------------------		
system.application_nodes_title	Application Nodes	Application Nodes
system.are_you_sure_to_restart	Are you sure you want to restart the server? The restart will first wait for ongoing background tasks to complete.	Sind Sie sicher, dass Sie den Server neu zu starten? Der Neustart wird zunächst für die laufenden Hintergrundaufgaben vollständig warten.
system.cluster_log_level.info	Your selection affect all Application nodes but not the Search nodes.	Ihre Auswahl alle Anwendungsknoten betreffen aber nicht die Suche Knoten.
system.copy_id_info	Copy ID information	Copy-ID-Informationen
system.current_health_of_x	Current health status of {0}	Aktuelle Gesundheitszustand {0}
system.download_logs	Download Logs	Protokolle herunterladen
system.download_system_info	Download System Info	Download System Info
system.download_x	Download {0}	Download {0}
system.forcing_shutdown_not_recommended	Forcing the shutdown is not recommended and can interrupt the processing of analysis reports.	das Herunterfahren zwingen wird nicht empfohlen und kann die Verarbeitung von Analyseberichte unterbrechen.
system.hide_intermediate_versions	Hide intermediate versions	Ausblenden Zwischenversionen
system.how_to_upgrade	How to upgrade?	Wie das Upgrade?
system.latest_version	Latest Version	Letzte Version
system.lts_version	LTS Version	LTS Version
system.log_level.warning	This level has performance impacts, please make sure to get back to INFO level once your investigation is done. Please note that when the server is restarted, logging will revert to the level configured in sonar.properties.	Diese Stufe hat Auswirkungen auf die Leistung, vergewissern Sie sich auf INFO-Ebene, um wieder einmal Ihre Untersuchung durchgeführt wird. Bitte beachten Sie, dass, wenn der Server neu gestartet wird, die Protokollierung auf das Niveau in sonar.properties konfiguriert zufällt.
system.log_level.warning.short	Current logs level has performance impacts, get back to INFO level.	Aktuelle Protokolle Ebene hat Auswirkungen auf die Leistung, auf INFO-Ebene zurück.
system.log_level.info	Your selection does not affect the Search Engine.	Ihre Auswahl hat keine Auswirkungen auf die Suchmaschine.
system.logs_level	Logs level	Logs Ebene
system.new_version_available	A new version of SonarQube is available.	Eine neue Version von Sonarqube zur Verfügung steht.
system.see_whats_new	See what's new!	Schau was neu ist!
system.release_notes	Release Notes	Versionshinweise
system.released_x	Released {0}	Veröffentlicht {0}
system.restart_in_progress	Restart in progress	Neustart im Gange
system.restart_server	Restart Server	Server neu starten
system.instance_restarting	{instance} restart is in progress. Ongoing {link} are completing.	{Instance} Neustart ist im Gange. Laufende {link} vervollständigen.
system.search_nodes_title	Search Nodes	Suchen Knoten
system.see_sonarqube_downloads	See All SonarQube Downloads	Siehe Alle Sonarqube Downloads
system.server_id	Server ID	Server-ID
system.set_log_level	Set logs level	Set-Protokolle Ebene
system.show_intermediate_versions	Show intermediate versions	Zeigen Zwischenversionen
system.system_upgrade	System Upgrade	System Verbesserung
system.version	Version	Ausführung
system.version_is_availble	{version} is available	{Version} ist verfügbar
		
		
#------------------------------------------------------------------------------		
#		
# OVERVIEW		
#		
#------------------------------------------------------------------------------		
overview.failed_conditions	Failed conditions	Fehlerbedingungen
overview.X_more_failed_conditions	{0} more failed conditions	{0} weitere Fehlerbedingungen
overview.X_conditions_failed	{0} conditions failed	{0} Bedingungen gescheitert
overview.quality_gate	Quality Gate Status	Quality Gate-Status
overview.quality_gate.help	A Quality Gate is a set of measure-based Boolean conditions. It helps you know immediately whether your project is production-ready. If your current status is not Passed, you'll see which measures caused the problem and the values required to pass.	Ein Quality Gate ist eine Reihe von Maße-basierte Boolesche Bedingungen. Es hilft Ihnen, sofort wissen, ob Ihr Projekt produktionsbereit ist. Wenn Ihre aktuelle Status wird nicht übergeben, erfahren Sie, welche Maßnahmen das Problem verursacht und die Werte sehen die passiert werden müssen.
overview.quality_gate_failed_with_x	with {0} errors	mit {0} Fehler
overview.quality_gate_code_clean	Your code is clean!	Ihr Code ist sauber!
overview.quality_gate_all_conditions_passed	All conditions passed.	Alle Bedingungen bestanden.
overview.you_should_define_quality_gate	You should define a quality gate on this project.	Sie sollten ein Qualitäts Tor an diesem Projekt definieren.
overview.quality_gate.ignored_conditions	Some Quality Gate conditions on New Code were ignored because of the small number of New Lines	Einige Quality Gate Bedingungen auf Neuen Code wurden wegen der geringen Anzahl von neuen Linien ignoriert
overview.quality_gate.ignored_conditions.tooltip	At the start of a new code period, if very few lines have been added or modified, it might be difficult to reach the desired level of code coverage or duplications. To prevent Quality Gate failure when there's little that can be done about it, Quality Gate conditions about duplications in new code and coverage on new code are ignored until the number of new lines is at least 20. An administrator can disable this in the general settings.	Zu Beginn einer neuen Codeperiode, wenn nur sehr wenige Zeilen hinzugefügt oder geändert worden ist, könnte es schwierig sein, den gewünschten Grad an Code-Coverage oder Verdoppelungen zu erreichen. Quality Gate Ausfall zu verhindern, wenn es wenig, was dagegen getan werden kann, Quality Gate Bedingungen über Verdopplungen in neuem Code und Berichterstattung über neuen Code ignoriert, bis die Zahl der neuen Linien ist mindestens 20. Ein Administrator diese in den allgemeinen Einstellungen deaktivieren kann .
overview.quality_gate.conditions_on_new_code	Only conditions on new code that are defined in the Quality Gate are checked. See the {link} associated to the project for details.	Einzige Bedingung für neuen Code im Quality Gate definiert sind, wird überprüft. Finden Sie in der {link} für weitere Details zu dem Projekt verbunden.
overview.quality_profiles	Quality Profiles used	Qualitätsprofile verwendet
overview.new_code_period_x	New Code: {0}	Neuer Code: {0}
overview.max_new_code_period_from_x	Max New Code from: {0}	Max Neuer Code aus: {0}
overview.started_x	Started {0}	Gestartet {0}
overview.new_code	New Code	Neuer Code
overview.overall_code	Overall Code	Gesamt-Code
overview.previous_analysis_x	Previous analysis was {0}	Frühere Analysen waren {0}
overview.started_on_x	Started on {0}	Gestartet am {0}
overview.previous_analysis_on_x	Previous analysis on {0}	Frühere Analysen auf {0}
overview.on_new_code	On New Code	Auf Neuen Code
overview.on_new_code_long	Conditions on New Code	Bedingungen auf Neuen Code
overview.about_this_portfolio	About This Portfolio	Über dieses Portfolio
overview.about_this_project.APP	About This Application	Über diese Applikation
overview.about_this_project.TRK	About This Project	Über dieses Projekt
overview.project_activity.APP	Application Activity	Anwendungsaktivität
overview.project_activity.TRK	Project Activity	Projektaktivität
overview.project_activity.click_to_see	Click to see project activity	Klicken Sie auf die Projektaktivität zu sehen
overview.external_links	External Links	Externe Links
overview.project_key.APP	Application Key	Anwendungstaste
overview.project_key.TRK	Project Key	Projekt Key
overview.activity	Activity	Aktivität
overview.recent_activity	Recent Activity	Letzte Aktivität
overview.measures	Measures	Maße
overview.measures.empty_explanation	Measures on New Code will appear after the second analysis of this branch.	Maßnahmen auf Neuen Code werden nach der zweiten Analyse dieses Zweiges erscheinen.
overview.measures.empty_link	{learn_more_link} about the Clean as You Code approach.	{LEARN_MORE_LINK} über den Clean as You-Code-Ansatz.
overview.measures.same_reference.explanation	This branch is configured to use itself as reference branch. It will never have New Code.	Dieser Zweig ist so konfiguriert sich selbst als Referenzzweig zu verwenden. Es wird nie Neuer Code haben.
overview.measures.bad_reference.explanation	This branch could not be compared to its reference branch. See the SCM or analysis report for more details.	Dieser Zweig kann nicht zu seinem Referenzzweig verglichen werden. Sehen Sie sich die SCM oder Analysebericht für weitere Details.
overview.measures.bad_setting.link	This can be fixed in the {setting_link} setting.	Dies kann in der {setting_link} Einstellung festgelegt werden.
overview.measures.security_hotspots_reviewed	Reviewed	Bewertet
		
overview.project.no_lines_of_code	This project has no lines of code.	Dieses Projekt hat keine Codezeilen.
overview.project.empty	This project is empty.	Dieses Projekt ist leer.
overview.project.branch_X_no_lines_of_code	The "{0}" branch has no lines of code.	Der „{0}“ Zweig hat keine Codezeilen.
overview.project.branch_X_empty	The "{0}" branch of this project is empty.	Der „{0}“ Zweig des Projektes ist es leer.
overview.project.main_branch_no_lines_of_code	The main branch has no lines of code.	Der Hauptzweig hat keine Codezeilen.
overview.project.main_branch_empty	The main branch of this project is empty.	Der Hauptzweig des Projektes ist es leer.
overview.project.branch_needs_new_analysis	The branch data is incomplete. Run a new analysis to update it.	Die Zweigdaten sind unvollständig. Führen Sie eine neue Analyse, sie zu aktualisieren.
		
overview.coverage_on	Coverage on	Berichterstattung
overview.coverage_on_X_lines	Coverage on {count} Lines to cover	Coverage auf {count} Lines Abdeckung
overview.coverage_on_X_new_lines	Coverage on {count} New Lines to cover	Coverage auf {count} neue Zeilen Abdeckung
overview.duplications_on	Duplications on	Vervielfältigungen auf
overview.duplications_on_X_lines	Duplications on {count} Lines	Vervielfältigungen auf {count} Zeilen
overview.duplications_on_X_new_lines	Duplications on {count} New Lines	Vervielfältigungen auf {count} Neue Linien
		
overview.period.previous_version	Since {0}	Da {0}
		
# Old periods, necessary to display project that haven't been analyzed with new setting (MMF-1579)		
overview.period.previous_version_only_date	Since previous version	Da Vorversion
overview.period.previous_analysis	Since previous analysis	Da frühere Analyse
overview.period.days	Last {0} days	Letzte {0} Tage
overview.period.version	Since {0}	Da {0}
overview.period.date	After {0}	Nach {0}
overview.period.manual_baseline	Since {0}	Da {0}
		
# New periods (MMF-1579)		
overview.period.number_of_days	From last {0} days	Von den letzten {0} Tagen
overview.period.specific_analysis	Since {0}	Da {0}
overview.period.reference_branch	Compared to {0}	Im Vergleich zu {0}
		
overview.gate.ERROR	Failed	Gescheitert
overview.gate.WARN	Warning	Warnung
overview.gate.OK	Passed	Bestanden
overview.gate.view.no_alert	The view has passed the quality gate.	Die Ansicht hat die Qualität Tor passiert.
overview.gate.view.warnings	The view has warnings on the following quality gate conditions: {0}.	Die Ansicht hat Warnungen auf folgende Qualitäts Gate Bedingungen: {0}.
overview.gate.view.errors	The view failed the quality gate on the following conditions: {0}.	Die Ansicht konnte die Qualität Tor auf den folgenden Bedingungen: {0}.
		
overview.domain.duplications	Duplications	Vervielfältigungen
overview.domain.size	Size	Größe
		
overview.complexity_tooltip.function	{0} functions have complexity around {1}	{0} Funktionen haben Komplexität um {1}
overview.complexity_tooltip.file	{0} files have complexity around {1}	{0} Dateien Komplexität um {1}
		
overview.deprecated_profile	This Quality Profile uses {0} deprecated rules and should be updated.	Dieses Qualitätsprofil verwendet {0} veraltete Regeln und soll aktualisiert werden.
overview.deleted_profile	{0} has been deleted since the last analysis.	{0} wurde seit der letzten Auswertung gelöscht.
		
overview.badges.get_badge.TRK	Get project badges	Erhalten Projekt Abzeichen
overview.badges.get_badge.VW	Get portfolio badges	Erhalten Portfolio Abzeichen
overview.badges.get_badge.APP	Get application badges	Erhalten Anwendung Abzeichen
overview.badges.title	Get project badges	Erhalten Projekt Abzeichen
overview.badges.description.TRK	Show the status of your project metrics on your README or website. Pick your style:	Zeigen Sie den Status Ihrer Projektmetriken auf Ihrer README oder eine Website. Wählen Sie Ihre Art:
overview.badges.description.VW	Show the status of your portfolio metrics on your README or website. Pick your style:	Zeigen Sie den Status Ihrer Portfolio-Metriken auf Ihrer README oder eine Website. Wählen Sie Ihre Art:
overview.badges.description.APP	Show the status of your application metrics on your README or website. Pick your style:	Zeigen Sie den Status Ihrer Anwendung Metriken auf Ihrer README oder eine Website. Wählen Sie Ihre Art:
overview.badges.metric	Metric	Metrisch
overview.badges.options.colors.white	White	Weiß
overview.badges.options.colors.black	Black	Schwarz
overview.badges.options.colors.orange	Orange	Orange
overview.badges.options.formats.md	Markdown	Abschlag
overview.badges.options.formats.url	Image URL only	Bild-URL nur
overview.badges.measure.alt	Standard badge	Standard Abzeichen
overview.badges.measure.description.TRK	Displays the current status of one metric of your project.	Zeigt den aktuellen Status einer Metrik des Projekts.
overview.badges.measure.description.VW	Displays the current status of one metric of your portfolio.	Zeigt den aktuellen Status einer Metrik Ihres Portfolios.
overview.badges.measure.description.APP	Displays the current status of one metric of your application.	Zeigt den aktuellen Status einer Metrik Ihrer Anwendung.
overview.badges.marketing.alt	Scanned on SonarCloud badge	Gescannte auf SonarCloud Abzeichen
overview.badges.marketing.description	This badge lets you advertise that you're using SonarCloud for code quality.	Dieses Abzeichen können Sie werben, dass Sie SonarCloud für die Qualität des Codes verwenden.
overview.badges.marketing.description.TRK	This badge lets you advertise that you're using SonarCloud for code quality.	Dieses Abzeichen können Sie werben, dass Sie SonarCloud für die Qualität des Codes verwenden.
overview.badges.quality_gate.alt	Quality Gate badge	Quality Gate Abzeichen
overview.badges.quality_gate.description	Displays the current quality gate status of your project.	Zeigt den aktuellen Quality Gate Status des Projekts.
overview.badges.quality_gate.description.APP	Displays the current quality gate status of your application.	Zeigt den aktuellen Quality Gate Status Ihrer Bewerbung.
overview.badges.quality_gate.description.TRK	Displays the current quality gate status of your project.	Zeigt den aktuellen Quality Gate Status des Projekts.
overview.badges.quality_gate.description.VW	Displays the current quality gate status of your portfolio.	Zeigt den aktuellen Quality Gate Status Ihres Portfolios.
		
		
#------------------------------------------------------------------------------		
#		
# WS API		
#		
#------------------------------------------------------------------------------		
api_documentation.deprecation_tooltip	If an API is deprecated in version X.Y, this API will be dropped in version (X+2).0. Example: an API deprecated in 4.1 is supported in 4.2, 4.3, 5.0, 5.1, 5.2, 5.3 and is dropped in version 6.0.	Wenn ein API in Version X.Y veraltet ist, wird diese API in Version (X + 2) fallen gelassen werden 0,0. Beispiel: eine API in 4.1 veraltet ist in 4.2, 4.3, 5.0, 5.1, 5.2, 5.3 und fallen gelassen wird in der Version 6.0 unterstützt.
api_documentation.internal_tooltip	Use at your own risk; internal services are subject to change or removal without notice.	Benutzung auf eigene Gefahr; interne Dienste unterliegen Änderung oder Entfernung ohne vorherige Ankündigung.
api_documentation.page	Web API	Web API
api_documentation.show_deprecated	Show Deprecated API	Anzeigen Verworfene API
api_documentation.show_internal	Show Internal API	Zeige interne API
api_documentation.possible_values	Possible values	Mögliche Werte
api_documentation.default_values	Default value	Standardwert
api_documentation.example_values	Example value	Beispielwert
api_documentation.max_values	Maximum allowed values	Die maximal zulässige Werte
api_documentation.min_value	Minimum value	Mindestwert
api_documentation.max_value	Maximum value	Maximalwert
api_documentation.min_length	Minimum length	Minimale Länge
api_documentation.max_length	Maximum length	Maximale Länge
api_documentation.internal	internal	intern
api_documentation.deprecated	deprecated	deprecated
api_documentation.deprecated_since_x	deprecated since {0}	veraltet seit {0}
api_documentation.will_be_removed_in_x	Will be removed in {0}	Wird in entfernt werden {0}
api_documentation.parameters	Parameters	Parameter
api_documentation.response_example	Response Example	Antwort Beispiel
api_documentation.changelog	Changelog	Änderungsprotokoll
api_documentation.search	Search by name...	Suche mit Name...
		
		
#------------------------------------------------------------------------------		
#		
# DOCUMENTATION PAGE		
#		
#------------------------------------------------------------------------------		
documentation.page	Documentation	Dokumentation
documentation.page_title.sonarcloud	SonarCloud Docs	SonarCloud Docs
documentation.page_title.sonarqube	SonarQube Docs	Sonarqube Docs
documentation.on_this_page	On this page	Auf dieser Seite
documentation.skip_to_nav	Skip to documentation navigation	Direkt zum Dokumentation Navigation
		
		
